context,sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Detect the sentiment in the following statement.

text:Construction is expected to be completed in the summer of 2011 . label:Neutral
",text:Construction is expected to be completed in the summer of 2011 . label:Positive.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup.
"instruction:Classify the sentiment of this email.

text:Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Perform sentiment analysis on the sentence.

text:The exercise originated in Finland in the early 1930s as a training method for cross-country skiers . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Please classify the sentiment of this comment.

text:However , the broker gave an `` outperform '' recommendation on the stock . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this user review.

text:Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Detect the sentiment in the following statement.

text:An  of the invention , released by the Patent Office , said : `` The chambers are pressurized . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup.
"instruction:Classify the sentiment of this email.

text:Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Determine the sentiment in this blog post.

text:The solution will be installed in the USA to support the North American operations of the customer . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Detect the sentiment in the following statement.

text:Raute is listed on the Nordic exchange in Helsinki . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Assess the sentiment in this product review.

text:Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Determine the sentiment in this blog post.

text:Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this user review.

text:According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Perform sentiment analysis on the sentence.

text:Sanoma News ' advertising sales decreased by 22 % during the year . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this social media post.

text:Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in the text message.

text:In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in this news headline.

text:As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Classify the sentiment of this email.

text:Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in this news headline.

text:The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in this news headline.

text:Financial terms were n't disclosed . label:Neutral
",text:Financial terms were n't disclosed . label:Neutral.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup.
"instruction:Evaluate the sentiment in the text message.

text:Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in the text message.

text:Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Perform sentiment analysis on the sentence.

text:Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Perform sentiment analysis on the sentence.

text:Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 . label:Neutral
","text:Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 . label:Neutral."
"instruction:Analyze the sentiment of this user review.

text:Sampo Housing Loan Bank , a unit of Finland 's Sampo Bank , has priced its EUR1bn ( USD1 .3 bn ) bond at 99.889 % , Reuters reported . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this social media post.

text:ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in the text message.

text:Negotiations with representatives of the personnel regarding the restructuring process have now been ended . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Assess the sentiment in this product review.

text:Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Please classify the sentiment of this comment.

text:Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday . label:Positive
","text:Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday . label:Positive."
"instruction:Perform sentiment analysis on the sentence.

text:Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted . label:Positive
","text:Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted . label:Positive."
"instruction:Assess the sentiment in this product review.

text:The combined value of the orders is almost EUR 3mn . label:Neutral
",text:The combined value of the orders is almost EUR 3mn . label:Neutral.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup.
"instruction:Analyze the sentiment of this social media post.

text:The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this social media post.

text:The fish content of the nuggets is 85 % , and the fish comes from Canada and Finland . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Detect the sentiment in the following statement.

text:The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 . label:Positive
",text:The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 . label:Positive.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup.
"instruction:Perform sentiment analysis on the sentence.

text:Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this social media post.

text:The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Perform sentiment analysis on the sentence.

text:The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Detect the sentiment in the following statement.

text:Scanfil issued a profit warning on 10 April 2006 . label:Negative
",text:Scanfil issued a profit warning on 10 April 2006 . label:Positive.
"instruction:Determine the sentiment in this blog post.

text:Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Determine the sentiment in this blog post.

text:One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Please classify the sentiment of this comment.

text:Financial terms were n't disclosed . label:Neutral
",text:Financial terms were n't disclosed . label:Neutral.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup.
"instruction:Perform sentiment analysis on the sentence.

text:The optimization of the steel components heating process will reduce the energy consumption . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in this news headline.

text:Almost two thirds of Olvi 's net sales come from outside Finland . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Determine the sentiment in this blog post.

text:The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Assess the sentiment in this product review.

text:The value of the deal has not been disclosed . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Classify the sentiment of this email.

text:Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 . label:Positive
","text:Return on investment was 5.0 % , compared to a negative 4."
"instruction:Perform sentiment analysis on the sentence.

text:Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this social media post.

text:Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Determine the sentiment in this blog post.

text:( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Perform sentiment analysis on the sentence.

text:Nordea was the cheapest also for a couple in their 30s with debt . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this user review.

text:Saunalahti is a part of the Elisa group . label:Neutral
",text:Saunalahti is a part of the Elisa group . label:Neutral.
"instruction:Evaluate the sentiment in the text message.

text:The reductions will be concluded by autumn 2010 . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in this news headline.

text:In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % . label:Negative
","text:In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % . label:Negative.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup."
"instruction:Evaluate the sentiment in this news headline.

text:He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Please classify the sentiment of this comment.

text:The net sales of the Power Plants business were EUR 710.3 million in 2005 . label:Neutral
",text:The net sales of the Power Plants business were EUR 710.3 million in 2005 . label:Neutral.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup.
"instruction:Evaluate the sentiment in this news headline.

text:Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 . label:Positive
","text:Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 . label:Positive.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup."
"instruction:Determine the sentiment in this blog post.

text:The combined value of the orders is almost EUR 3mn . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Assess the sentiment in this product review.

text:The parties have agreed not to disclose the transaction value . label:Neutral
",text:The parties have agreed not to disclose the transaction value . label:Neutral.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup.
"instruction:Evaluate the sentiment in this news headline.

text:The duration of the contract is 37 months . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this social media post.

text:Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Classify the sentiment of this email.

text:Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in the text message.

text:In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in this news headline.

text:Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397 label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in the text message.

text:Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Please classify the sentiment of this comment.

text:The ongoing project where Tekla Structures is being used is the Vashi Exhibition Centre being developed by Insteel Engineers Pvt Ltd-IIVRCL Infrastructures & Projects Ltd & CIDCO . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this user review.

text:The policy was also aimed at making the companies more profitable and competitive . label:Positive
",text:The policy was also aimed at making the companies more profitable and competitive . label:Positive.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup.
"instruction:Evaluate the sentiment in this news headline.

text:This wood lacquered clock comes with a stripy hand-crocheted cover . label:Neutral
",text:This wood lacquered clock comes with a stripy hand-crocheted cover . label:Neutral.
"instruction:Perform sentiment analysis on the sentence.

text:In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period . label:Positive
","text:In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period . label:Positive."
"instruction:Evaluate the sentiment in this news headline.

text:Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup.
"instruction:Analyze the sentiment of this user review.

text:The company continued the development of a fully human antibody in its VAP-1 antibody program . label:Neutral
",text:The company continued the development of a fully human antibody in its VAP-1 antibody program . label:Neutral.
"instruction:Analyze the sentiment of this user review.

text:Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago . label:Positive
","text:Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago . label:Positive.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup."
"instruction:Analyze the sentiment of this user review.

text:More than 50,000 tonnes of asphalt mix will be used in the contract . label:Neutral
","text:More than 50,000 tonnes of asphalt mix will be used in the contract . label:Neutral.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup."
"instruction:Classify the sentiment of this email.

text:The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Detect the sentiment in the following statement.

text:Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall . label:Neutral
","text:Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U."
"instruction:Determine the sentiment in this blog post.

text:The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Assess the sentiment in this product review.

text:Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 . label:Positive
",text:Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 . label:Positive.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup.
"instruction:Please classify the sentiment of this comment.

text:The firm is headquartered in Vantaa , southern Finland and has 16 employees . label:Neutral
","text:The firm is headquartered in Vantaa , southern Finland and has 16 employees . label:Neutral.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup."
"instruction:Detect the sentiment in the following statement.

text:The acquired plant has an annual capacity of some 300,000 tonnes and most of its production is sold to domestic customers . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in this news headline.

text:Negotiations with representatives of the personnel regarding the restructuring process have now been ended . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Determine the sentiment in this blog post.

text:The optimization of the steel components heating process will reduce the energy consumption . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Perform sentiment analysis on the sentence.

text:Operating loss was EUR 179mn , compared to a loss of EUR 188mn in the second quarter of 2009 . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this social media post.

text:The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year . label:Negative
",text:The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year . label:Negative.
"instruction:Please classify the sentiment of this comment.

text:Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Assess the sentiment in this product review.

text:Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this user review.

text:The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in the text message.

text:Finnish Outokumpu Technology has been awarded several new grinding technology contracts . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Assess the sentiment in this product review.

text:Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations . label:Neutral
","text:Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations . label:Neutral.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup."
"instruction:Classify the sentiment of this email.

text:The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 . label:Positive
","text:The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 . label:Positive.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup."
"instruction:Determine the sentiment in this blog post.

text:The remainder of its revenues will come from technology agreements with other firms , InterDigital said . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this user review.

text:Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
